token	corpus size	all contexts size	frequency	co-frequency	specificity
sociales	31435	23169	450	444	49.72
de	31435	23169	2577	2115	25.39
o	31435	23169	494	442	17.99
las	31435	23169	691	592	14.19
seguridad	31435	23169	240	216	9.78
monofilamento	31435	23169	64	64	8.49
hilo	31435	23169	59	59	7.83
210	31435	23169	48	48	6.37
una	31435	23169	393	328	5.94
marketing	31435	23169	139	124	5.46
