Model loaded
loaded succeed
succeed IFRAME
IFRAME http
http new
new s
s china
china com
com cn
cn node
node 8025794
8025794 htm
htm 中国
中国 网
网 新闻
新闻 中心
中心 新闻
新闻 中心
中心 综合
综合 立体
立体 交通
交通 网络
网络 加快
加快 完善
完善 发布
发布 时间
时间 2022
2022 0
0 5
5 2
2 6
6 10
10 37
37 49
49 来
来 源
源 人民日报
人民日报 作者
作者 刘志强
刘志强 202205260520466751
202205260520466751 jpg
jpg 5月
5月 25日
25日 交通
交通 运输部
运输部 对外
对外 发布
发布 2021年
2021年 交通
交通 运输
运输 行业
行业 发展
发展 统计
统计 公报
公报 公报
公报 显示
显示 过去
过去 一
一 年
年 交通
交通 强国
强国 建设
建设 取得
取得 显著
显著 成绩
成绩 主要
主要 体现
体现 在
在 以下
以下 几
几 个
个 方面
方面 综合
综合 立体
立体 交通
交通 网络
网络 加快
加快 完善
完善 交通
交通 固定资产
固定资产 投资
投资 稳步
稳步 增长
增长 全年
全年 完成
完成 交通
交通 固定资产
固定资产 投资
投资 3
3 6万亿
6万亿 元
元 比
比 上年
上年 增长
增长 4
4 1
1 两
两 年
年 平均
平均 增长
增长 5
5 6
6 发挥
发挥 了
了 重要
重要 的
的 稳
稳 增长
增长 作用
作用 高
高 效率
效率 交通
交通 基础
基础 设施
设施 覆盖
覆盖 范围
范围 持续
持续 扩大
扩大 截至
截至 2021年
2021年 末
末 全国
全国 高铁
高铁 营业
营业 里程
里程 达到
达到 4万
4万 公里
公里 占
占 铁路
铁路 营业
营业 里程
里程 比重
比重 超过
超过 1
1 4
4 高速公路
高速公路 里程
里程 16
16 9万
9万 公里
公里 比
比 上年
上年 末
末 增加
增加 8090
8090 公里
公里 占
占 公路
公路 总
总 里程
里程 比重
比重 为
为 3
3 2
2 呈现
呈现 稳步
稳步 提高
提高 态势
态势 全国
全国 港口
港口 万吨级
万吨级 及
及 以上
以上 泊位
泊位 2659
2659 个
个 增加
增加 67
67 个
个 占
占 全国
全国 港口
港口 泊位
泊位 比重
比重 为
为 1
1 2
2 7
7 提高
提高 1
1 个
个 百分点
百分点 定期
定期 航班
航班 通航
通航 机场
机场 通航
通航 城市
城市 或
或 地区
地区 分别
分别 提高
提高 至
至 248
248 个
个 和
和 244
244 个
个 普通
普通 干线
干线 交通网
交通网 结构
结构 不
不 断
断 完善
完善 截至
截至 2021年
2021年 末
末 全国
全国 铁路
铁路 营业
营业 里程
里程 达到
达到 15万
15万 公里
公里 比
比 上年
上年 末
末 增加
增加 超过
超过 3600
3600 公里
公里 二级
二级 及
及 以上
以上 等级
等级 公路
公路 里程
里程 72
72 4万
4万 公
公 里
里 增加
增加 2
2 1万
1万 公里
公里 占
占 公路
公路 总
总 里程
里程 比重
比重 为
为 13
13 7
7 提高
提高 0
0 2
2 个
个 百分点
百分点 三级
三级 及
及 以上
以上 航道
航道 通航
通航 里程
里程 1
1 45万
45万 公里
公里 增加
增加 140
140 公里
公里 占
占 航道
航道 总
总 里程
里程 比重
比重 为
为 11
11 4
4 农村
农村 交通
交通 网络
网络 通达
通达 通畅
通畅 水平
水平 稳步
稳步 提升
提升 截至
截至 2021年
2021年 末
末 农村
农村 公路
公路 里程
里程 446
446 6万
6万 公里
公里 比
比 上年
上年 末
末 增加
增加 8
8 4万
4万 公里
公里 农村
农村 快递
快递 服务
服务 营业
营业 网点
网点 数量
数量 占
占 比
比 提高
提高 至
至 30
30 以上
以上 快
快 递
递 服务
服务 乡镇
乡镇 网点
网点 覆盖率
覆盖率 达到
达到 98
98 服务
服务 满意度
满意度 进一步
进一步 提高
提高 西部地区
西部地区 路网
路网 规模
规模 不
不 断
断 提升
提升 结构
结构 持续
持续 优化
优化 截至
截至 2021年
2021年 末
末 西部地区
西部地区 公路
公路 总
总 里程
里程 占
占 全国
全国 公路
公路 总
总 里程
里程 比重
比重 达
达 42
42 9
9 比
比 上年
上年 末
末 提高
提高 0
0 5
5 个
个 百分点
百分点 高速
高速 公路
公路 里程
里程 占
占 全国
全国 比重
比重 达
达 41
41 3
3 提高
提高 1
1 7
7 个
个 百分点
百分点 路网
路网 规模
规模 和
和 质量
质量 与
与 东部
东部 中部地区
中部地区 的
的 差距
差距 进一步
进一步 缩小
缩小 运输
运输 装备
装备 提档
提档 升级
升级 大型
大型 化装备
化装备 不
不 断
断 提高
提高 截至
截至 2021年
2021年 末
末 营运
营运 载货
载货 汽车
