Model loaded
汽车 平均
平均 吨位
吨位 为
为 14
14 6
6 吨
吨 辆
辆 比
比 上年
上年 末
末 增加
增加 0
0 4
4 吨
吨 辆
辆 营业性
营业性 运输
运输 船舶
船舶 平均
平均 净
净 载
载 重量
重量 2259
2259 吨
吨 艘
艘 比
比 上年
上年 末
末 增加
增加 125
125 吨
吨 艘
艘 专业化
专业化 装备
装备 持续
持续 增加
增加 截至
截至 2021年
2021年 末
末 全国
全国 铁路
铁路 拥有
拥有 动车组
动车组 33221
33221 辆
辆 比
比 上年
上年 末
末 增加
增加 1881
1881 辆
辆 增长
增长 6
6 占
占 铁路
铁路 客车
客车 总量
总量 超过
超过 四
四 成
成 公路
公路 拥有
拥有 专用
专用 货
货 车
车 60
60 4万
4万 辆
辆 增加
增加 9
9 7万
7万 辆
辆 增长
增长 19
19 2
2 占
占 营运
营运 载货
载货 汽车
汽车 总量
总量 的
的 5
5 1
1 提高
提高 0
0 6
6 个
个 百分点
百分点 绿色化
绿色化 装备
装备 趋势
趋势 明显
明显 截至
截至 2021年
2021年 末
末 全国
全国 铁路
铁路 拥有
拥有 电力
电力 机车
机车 1
1 39万
39万 台
台 占
占 铁路
铁路 机车
机车 总量
总量 达
达 64
64 比
比 上年
上年 末
末 提高
提高 约
约 1
1 3
3 个
个 百分点
百分点 全国
全国 城市
城市 公共
公共 汽电
汽电 车
车 中
中 拥有
拥有 纯
纯 电动车
电动车 42万
42万 辆
辆 增加
增加 4
4 1万
1万 辆
辆 增长
增长 10
10 8
8 拥有
拥有 天然气
天然气 车
车 11
11 2万
2万 辆
辆 混合
混合 动力
动力 车
车 8
8 6万
6万 辆
辆 三者
三者 合计
合计 占
占 公共
公共 汽电车
汽电车 比重
比重 达
达 87
87 提高
提高 2
2 7
7 个
个 百分点
百分点 物流
物流 保障
保障 能力
能力 不
不 断
断 增强
增强 国内
国内 物流
物流 供应链
供应链 保障
保障 能力
能力 进一步
进一步 提升
提升 全年
全年 完成
完成 营业性
营业性 货运量
货运量 521
521 6亿
6亿 吨
吨 比
比 上年
上年 增长
增长 12
12 3
3 两
两 年
年 平均
平均 增长
增长 5
5 7
7 其中
其中 铁路
铁路 货运量
货运量 比
比 上年
上年 增长
增长 4
4 9
9 全国
全国 港口
港口 集装箱
集装箱 铁水
铁水 联运量
联运量 比
比 上年
上年 增长
增长 9
9 8
8 公路
公路 货运量
货运量 比
比 上年
上年 增长
增长 14
14 2
2 高速公路
高速公路 货车
货车 流量
流量 比
比 上年
上年 增长
增长 6
6 0
0 水路
水路 货运量
货运量 比
比 上年
上年 增长
增长 8
8 2
2 全国
全国 港口
港口 完成
完成 货物
货物 吞吐量
吞吐量 155
155 5亿
5亿 吨
吨 比
比 上年
上年 增长
增长 6
6 8
8 民航
民航 货运量
货运量 比
比 上年
上年 增长
增长 8
8 2
2 快
快 递
递 业务量
业务量 完成
完成 1083亿
1083亿 件
件 比
比 上年
上年 增长
增长 29
29 9
9 国际
国际 物流
物流 供应链
供应链 安全
安全 畅通
畅通 保障
保障 水平
水平 稳步
稳步 提高
提高 全年
全年 中
中 欧
欧 班列
班列 开行量
开行量 达
达 15183
15183 列
列 首
首 次
次 站
站 上
上 1
1 5万
5万 列
列 大关
大关 比
比 上年
上年 增长
增长 22
22 全国
全国 港口
港口 完成
完成 外贸
外贸 货物
货物 吞吐量
吞吐量 47
47 0亿
0亿 吨
吨 增长
增长 4
4 5
5 西部
西部 陆海
陆海 新
新 通道
通道 班列
班列 集装箱
集装箱 发送量
发送量 57万
57万 标箱
标箱 增长
增长 57
57 5
5 民航
民航 开行
开行 国际
国际 货运
货运 航班
航班 20万
20万 班
班 增长
增长 22
22 国际
国际 航线
航线 货邮量
货邮量 完成
完成 266
266 7万
7万 吨
吨 增长
增长 19
19 5
5 161021
161021 0
0 2
2 jpg
jpg 客户
客户 端
端 中
中 查看
查看 161021
161021 0
0 3
3 jpg
jpg 手机
手机 中
中 查看
查看 关键词
关键词 责任
责任 编辑
编辑 卢小凡
卢小凡 分享
分享 到
到 IFRAME
IFRAME http
http new
new s
s china
china com
com cn
cn node
node 7240674
7240674 htm
htm 相关
相关 新闻
新闻 BUTTON
BUTTON 加载
加载 更
更 多
多 新闻
新闻 IFRAME
IFRAME http
http new
new s
s china
china com
com cn
cn node
node 8025550
8025550 htm
htm 关于
关于 我们
我们 外宣
外宣 服务
服务 与
与 广告
广告 服务
服务 违法
违法 和
和 不
不 良
良 信息
信息 举报
举报 电话
电话 010
010 88828271
88828271 举报
举报 流程
流程 版权
版权 所有
所有 中国
中国 互联网
互联网 新闻
新闻 中心
中心 电子
电子 邮件
邮件 news
news china
china or
or g
g cn
cn 电话
电话 86
86 10
10 88828000
88828000 京
京 ICP证
ICP证 040089
040089 号
号 1
1 网络
网络 传播
传播 视听
视听 节目
节目 许可证号
许可证号 0105123
0105123 人民日报
