Model loaded
loaded succeed
succeed log
log o
o png
png m
m l
l og
og o
o png
png BUTTON
BUTTON 高级
高级 检索
检索 个人
个人 中心
中心 切换
切换 机构
机构 账号
账号 切换
切换 个人
个人 账号
账号 退出
退出 登录
登录 注册
注册 专业
专业 板块
板块 专题
专题 板块
板块 大众
大众 板块
板块 切换
切换 机构
机构 账号
账号 切换
切换 个人
个人 账号
账号 高级
高级 检索
检索 个人
个人 中心
中心 退出
退出 高级
高级 检索
检索 登录
登录 注册
注册 目录
目录 BUTTON
BUTTON 社交
社交 网络
网络 是
是 一个
一个 多义词
多义词 请
请 在
在 下列
下列 义项
义项 上
上 选择
选择 浏览
浏览 共
共 3
3 个
个 义项
义项 本
本 条目
条目 是
是 多义词
多义词 共
共 3
3 个
个 义项
义项 传播学
传播学 计算机
计算机 科学技术
科学技术 管理科学
管理科学 与
与 工程
工程 展开
展开 全部
全部 首
首 页
页 ID
ID 42420
42420 Name
Name 文学
文学 ID
ID 45060
45060 Name
Name 传播学
传播学 ID
ID 137723
137723 Name
Name 人际
人际 传播
传播 ID
ID 137724
137724 Name
Name 基本
基本 概念
概念 ID
ID 137726
137726 Name
Name 人际
人际 传播
传播 要素
要素 ID
ID 137727
137727 Name
Name 人际
人际 传播
传播 中
中 的
的 自我
自我 与
与 他人
他人 社交
社交 网络
网络 social
social network
network 最后
最后 更新
更新 2025
2025 10
10 14
14 浏览
浏览 422
422 次
次 最后
最后 更新
更新 2025
2025 10
10 14
14 浏览
浏览 422
422 次
次 分享
分享 到
到 qqim
qqim gif
gif QQ好友
QQ好友 weixin
weixin gif
gif 微信
微信 qzone
qzone gif
gif QQ
QQ 空间
空间 sinaminiblog
sinaminiblog gif
gif 新
新 浪微博
浪微博 weixin
weixin gif
gif 微信
微信 qzone
qzone gif
gif QQ
QQ 空间
空间 sinaminiblog
sinaminiblog gif
gif 新
新 浪微博
浪微博 X
X 分享
分享 到
到 微信
微信 0
0 意见
意见 反馈
反馈 一
一 键
键 引用
引用 文献
文献 引用
引用 复制
复制 多
多 个
个 由
由 一
一 组
组 社会
社会 行动者
行动者 与
与 另
另 一
一 组
组 社会
社会 行动者
行动者 之间
之间 点
点 对
对 点
点 的
的 二
二 元
元 互动
互动 关联
关联 所
所 交互
交互 形成
形成 的
的 社会
社会 结构
结构 是
是 社会
社会 行动者
行动者 之间
之间 因为
因为 社会
社会 互动
互动 而
而 形成
形成 的
的 相对
相对 稳定
稳定 的
的 关系
关系 体系
体系 又
又 称
称 社会
社会 网络
网络 英文
英文 名称
名称 social
social network
network 又
又 称
称 社会
社会 网络
网络 所属
所属 学科
学科 传播学
传播学 精选
精选 发现
发现 相关
相关 条目
条目 阅读
阅读 历史
历史 人际
人际 传播
传播 中
中 的
的 自我
自我 与
与 他人
他人 总
总 编委会
编委会 学科
学科 编委会
编委会 关于
关于 我们
我们 三
三 版
版 介绍
介绍 版权
版权 声明
声明 版权
版权 所有
所有 2025
2025 中国
中国 大百科全书
大百科全书 出版社
出版社 Copyrights
Copyrights 2025
2025 by
by Encyclopedia
Encyclopedia of
of China
China Publishing
Publishing House
House All
All Rights
Rights Reserved
Reserved 京
京 ICP备
ICP备 13020690
13020690 号
号 4
4 z
z gbk
gbk png
png 京
京 公网
公网 安备
安备 11010202008139
11010202008139 号
号 网络
网络 出版
出版 服务
服务 许可证
许可证 署
署 网出证
网出证 京
京 字
字 第155
第155 号
号 纸书
纸书 购买
购买 意见
意见 反馈
反馈 提
提 交
交 感谢
感谢 您
您 的
的 反馈
反馈 我们
我们 会
会 尽快
尽快 处理
处理 您
您 的
的 反馈
反馈 谢谢
谢谢 BUTTON
BUTTON 试用
试用 结束
结束 开通
开通 会员
会员 即
即 可
可 查阅
查阅 全文
全文 对
对 不
不 起
起 您
您 所
所 在
在 机构
机构 没有
没有 获得
获得 相应
相应 使用
使用 权限
权限 若
若 需
需 获得
获得 更
更 多
多 服务
服务 请
请 与
与 您
您 所
所 在
在 机构
机构 的
的 负责
负责 部门
部门 或
或 本网站
本网站 客服
客服 联系
联系 回到
回到 首
首 页
页 再
再 想想
想想 开通
开通 会员
