token	corpus size	all contexts size	frequency	co-frequency	specificity
社交	135785	30212	731	515	169.68
神经	135785	30212	186	178	103.74
的	135785	30212	6167	1893	55.68
网络	135785	30212	1895	692	45.38
安全	135785	30212	466	243	44.49
人际	135785	30212	84	76	39.87
人脉	135785	30212	63	53	24.59
中	135785	30212	587	241	24.09
舆论	135785	30212	29	28	16.93
直播	135785	30212	174	88	15.70
分析	135785	30212	299	128	14.94
推理	135785	30212	93	54	13.13
结构	135785	30212	78	48	13.08
人际关系	135785	30212	56	38	12.45
位置	135785	30212	60	39	11.85
发展	135785	30212	296	116	10.65
在	135785	30212	1189	358	10.25
欧氏	135785	30212	66	39	10.02
值	135785	30212	124	60	10.01
暴力	135785	30212	18	17	9.95
深度	135785	30212	83	45	9.73
铁路	135785	30212	165	72	9.28
社会	135785	30212	287	109	9.17
乱象	135785	30212	19	17	9.08
运输	135785	30212	127	59	9.01
是	135785	30212	1204	350	8.25
稳定	135785	30212	52	31	8.25
距离	135785	30212	95	46	7.89
清朗	135785	30212	17	15	7.88
如何	135785	30212	145	62	7.73
识别	135785	30212	73	38	7.71
能力	135785	30212	165	68	7.64
关系	135785	30212	279	101	7.38
数据处理者	135785	30212	26	19	7.35
技术	135785	30212	161	66	7.34
图表	135785	30212	16	14	7.28
引导	135785	30212	33	22	7.28
法治	135785	30212	18	15	7.21
广州	135785	30212	109	49	7.09
治理	135785	30212	74	37	6.95
处理	135785	30212	101	46	6.91
规模	135785	30212	72	36	6.79
涌现	135785	30212	23	17	6.75
主要	135785	30212	85	40	6.57
犯罪	135785	30212	57	30	6.39
准确	135785	30212	42	24	6.08
对	135785	30212	347	115	6.05
网信	135785	30212	83	38	5.92
感知	135785	30212	31	19	5.56
节点	135785	30212	102	43	5.46
重要	135785	30212	119	48	5.37
建立	135785	30212	160	60	5.31
成为	135785	30212	117	47	5.22
网信办	135785	30212	8	8	5.22
防线	135785	30212	8	8	5.22
pnas	135785	30212	8	8	5.22
模式	135785	30212	104	43	5.21
network	135785	30212	52	26	5.12
训练	135785	30212	55	27	5.10
复杂	135785	30212	61	29	5.09
处在	135785	30212	10	9	4.98
摧毁	135785	30212	10	9	4.98
特征	135785	30212	50	25	4.95
文学	135785	30212	14	11	4.95
通过	135785	30212	272	90	4.94
校友	135785	30212	26	16	4.81
从而	135785	30212	37	20	4.71
地区	135785	30212	52	25	4.59
理性	135785	30212	7	7	4.57
任务	135785	30212	65	29	4.46
随着	135785	30212	50	24	4.42
简单	135785	30212	50	24	4.42
攻击	135785	30212	50	24	4.42
形成	135785	30212	78	33	4.42
海疆	135785	30212	9	8	4.38
和谐	135785	30212	9	8	4.38
结构性	135785	30212	9	8	4.38
衡量	135785	30212	20	13	4.36
基地	135785	30212	11	9	4.35
评估	135785	30212	105	41	4.35
推广	135785	30212	39	20	4.29
了	135785	30212	926	252	4.28
丰富	135785	30212	28	16	4.27
营造	135785	30212	18	12	4.22
加强	135785	30212	31	17	4.20
阶段	135785	30212	31	17	4.20
数据	135785	30212	408	122	4.17
利用	135785	30212	64	28	4.16
可以	135785	30212	354	108	4.15
风险	135785	30212	107	41	4.15
因此	135785	30212	61	27	4.14
综合	135785	30212	55	25	4.11
表现	135785	30212	40	20	4.10
行业	135785	30212	217	71	3.96
个人	135785	30212	109	41	3.95
种	135785	30212	130	47	3.95
时评	135785	30212	6	6	3.92
黄怡	135785	30212	6	6	3.92
张清华	135785	30212	6	6	3.92
土壤	135785	30212	6	6	3.92
